Platform,Post Type,Post Content,Likes,Comments,Shares,Reach,Engagement Rate,Audience Age,Audience Location,date,time
Instagram,Video,Increase fast partner south.,908,125,85,3884,28.78,48,Greece,2023-07-30,06:40:06.356134
Instagram,Video,Lawyer behavior born window couple sister.,412,419,58,849,104.71,55,United States Virgin Islands,2021-12-05,03:56:53.211700
Instagram,Link,Community seek Republican cold though ability understand event.,874,239,91,1553,77.53,41,Jamaica,2022-09-28,06:32:05.116755
Instagram,Image,Town find identify game your.,870,92,15,4829,20.23,48,Sudan,2022-05-12,15:41:21.902021
Instagram,Link,Reduce theory upon else someone significant which century.,322,195,146,3477,19.07,47,Nepal,2022-03-14,00:27:10.505324
Instagram,Link,Half see campaign many door increase animal.,210,49,86,3443,10.02,65,Slovakia (Slovak Republic),2021-11-08,16:18:39.303747
Instagram,Image,Themselves evidence rate husband fact.,807,325,194,668,198.5,49,Sierra Leone,2022-05-03,19:33:24.457337
Instagram,Link,Sense despite hair way air if rise.,266,207,37,707,72.14,23,Costa Rica,2023-09-29,17:26:21.870376
Instagram,Video,Would describe according if.,976,393,170,925,166.38,27,Mexico,2023-07-06,14:11:57.290019
Instagram,Video,Cause right process while by suddenly.,497,67,26,4876,12.1,35,Kiribati,2022-07-16,09:03:38.124959
Instagram,Video,Fight half reveal safe order work.,455,365,57,2309,37.98,35,Cocos (Keeling) Islands,2023-05-30,01:27:07.604532
Instagram,Image,She significant agreement.,272,214,200,3635,18.87,64,Liechtenstein,2021-10-01,08:57:50.878877
Instagram,Video,Federal candidate Republican window north.,185,403,89,1378,49.13,48,Nicaragua,2023-06-05,13:17:31.538582
Instagram,Image,Share much because speak see.,378,23,162,2405,23.41,52,Brunei Darussalam,2023-01-10,21:34:53.213922
Instagram,Image,Parent official public dark study.,605,386,107,1169,93.93,59,Iceland,2021-07-06,00:46:10.325109
Instagram,Link,Behind organization forget argue.,657,260,200,705,158.44,51,El Salvador,2023-04-11,15:05:54.599740
